name,url,description
RemoteWorkQ Participant Report,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,
Smart Interview Live,https://www.shl.com/products/product-catalog/view/smart-interview-live/,
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,
Reviewing Forms - US (R1),https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,
Universal Competency Framework Profiler Cards (44),https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,
Verify - G+,https://www.shl.com/products/product-catalog/view/verify-g/,
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,
SAP Materials Management (New),https://www.shl.com/products/product-catalog/view/sap-materials-management-new/,
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,
SAP BW (Business Warehouse) (New),https://www.shl.com/products/product-catalog/view/sap-bw-business-warehouse-new/,
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,
UNIX (New),https://www.shl.com/products/product-catalog/view/unix-new/,
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,
Python (New),https://www.shl.com/products/product-catalog/view/python-new/,
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,
Retail Sales and Service Simulation,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/,
Written Spanish,https://www.shl.com/products/product-catalog/view/written-spanish/,
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,
Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/,
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,
Spelling (U.S.) (New),https://www.shl.com/products/product-catalog/view/spelling-u-s-new/,
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,
SVAR - Spoken English (U.K.),https://www.shl.com/products/product-catalog/view/svar-spoken-english-u-k/,
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,
Typing (New),https://www.shl.com/products/product-catalog/view/typing-new/,
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-customer-service-new/,
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,
SVAR - Spoken French (European) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-european-new/,
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,
Verify Interactive Process Monitoring,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,
SHL Verify Interactive Numerical Calculation,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,
Time Management (U.S.),https://www.shl.com/products/product-catalog/view/time-management-u-s/,
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,
Sales Profiler Cards,https://www.shl.com/products/product-catalog/view/sales-profiler-cards/,
SQL Server Integration Services (SSIS) (New),https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/,
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,
Swing (New),https://www.shl.com/products/product-catalog/view/swing-new/,
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,
SAP Basis (New),https://www.shl.com/products/product-catalog/view/sap-basis-new/,
VLSI and Embedded Systems (New),https://www.shl.com/products/product-catalog/view/vlsi-and-embedded-systems-new/,
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,
